instance_size,execution_time
1000,99
1000,97
1000,102
1000,109
1000,99
1000,100
1000,102
1000,100
1000,90
1000,124
2000,178
2000,217
2000,186
2000,189
2000,242
2000,197
2000,203
2000,201
2000,169
2000,187
3000,303
3000,273
3000,319
3000,267
3000,247
3000,294
3000,298
3000,311
3000,337
3000,279
4000,379
4000,374
4000,439
4000,438
4000,418
4000,478
4000,420
4000,439
4000,371
4000,414
5000,467
5000,606
5000,531
5000,580
5000,476
5000,522
5000,487
5000,544
5000,529
5000,530
6000,610
6000,627
6000,673
6000,597
6000,563
6000,618
6000,653
6000,456
6000,736
6000,621
7000,762
7000,669
7000,790
7000,673
7000,720
7000,693
7000,613
7000,694
7000,619
7000,676
8000,781
8000,768
8000,921
8000,796
8000,649
8000,728
8000,911
8000,753
8000,689
8000,634
9000,837
9000,969
9000,776
9000,874
9000,895
9000,848
9000,863
9000,1052
9000,740
9000,809
10000,936
10000,956
10000,1018
10000,931
10000,980
10000,985
10000,1046
10000,1083
10000,896
10000,1065
